Codigo,Distrito,Dimension_Economica,Dimension_Participacion,Dimension_Salud,Dimension_Educativa,IDS
21304,Bijagua,16.0,51.5,66.7,60.5,50.90
21308,Canalete,16.0,51.5,66.7,60.5,50.90
21012,Monterrey,23.5,68.4,59.6,46.6,50.35
21006,Pital,23.0,45.2,60.9,58.1,49.60
21402,Caño Negro,11.1,52.0,68.2,55.6,47.64
21010,Venado,19.4,63.0,66.3,41.1,47.21
21302,Aguas Claras,11.9,45.5,69.5,55.0,46.55
21501,San Rafael,17.1,53.7,63.4,46.1,45.26
21502,Buenavista,10.1,54.4,64.9,51.0,45.03
21504,Katira,15.7,45.5,63.4,49.9,44.28
41002,La Virgen,14.8,38.4,61.5,55.9,44.05
21401,Los Chiles,16.4,52.4,68.2,39.3,43.37
21305,Delicias,7.6,42.9,60.3,58.3,42.89
41001,Puerto Viejo,19.2,29.4,54.3,56.3,41.75
21013,Pocosol,15.8,49.7,59.9,42.8,41.49
21307,Yolillal,10.6,46.5,63.1,46.4,41.05
21404,San Jorge,11.9,56.6,69.0,34.4,40.92
21011,Cutris,17.3,55.7,52.9,38.8,39.95
20306,Río Cuarto,12.6,25.7,58.1,57.7,39.90
21403,El Amparo,13.2,50.8,56.8,39.8,38.66
21306,Dos Ríos,5.9,29.8,63.4,54.1,38.37
21503,Cote,10.2,50.3,59.0,38.3,37.42
21303,San José (Pizote),9.8,30.0,52.1,40.3,31.29
41004,Llanuras del Gaspar,9.0,38.2,36.1,16.1,18.75
41005,Cureña,5.7,43.5,0.0,17.8,8.96
60203,Macacona,37.9,58.8,90.0,75.4,73.85
20901,Orotina,36.1,52.7,66.6,87.3,69.66
20403,Jesús María,19.1,58.2,94.5,80.0,69.41
60115,El Roble,39.3,33.8,85.0,76.7,67.59
60201,Espíritu Santo,32.7,54.8,79.9,72.9,67.00
20401,San Mateo,28.7,67.3,94.2,56.6,66.07
60109,Monte Verde,33.5,57.7,81.6,58.2,62.65
60101,Puntarenas,43.1,42.3,91.0,50.2,62.37
61101,Jacó,38.8,43.0,80.9,60.5,61.98
20404,Labrador,22.0,75.9,81.0,45.8,61.70
60601,Quepos,38.2,39.9,83.1,57.9,60.67
60401,Miramar,32.6,54.5,66.9,63.1,59.22
60108,Barranca,25.6,27.1,90.2,66.5,58.13
20903,Hacienda Vieja,32.0,47.3,58.1,70.7,57.77
20402,Desmonte,22.0,75.9,81.0,45.8,57.43
60403,San Isidro,23.2,61.2,72.5,59.0,57.16
60202,San Juan Grande,23.8,48.1,79.3,61.1,57.06
60204,San Rafael,21.6,72.5,70.8,51.2,55.63
20902,Mastate,26.0,46.8,75.9,56.3,54.79
61102,Tárcoles,29.5,43.1,69.2,59.1,54.42
20905,Ceiba,20.3,49.4,72.1,61.7,54.13
20904,Coyolar,21.1,40.1,73.0,62.5,52.87
60111,Cóbano,26.9,43.5,76.3,51.2,52.45
60104,Lepanto,18.2,48.0,79.1,53.5,51.83
60102,Pitahaya,13.5,38.2,93.1,52.3,51.20
60114,Acapulco,23.6,45.5,70.9,53.6,51.03
60205,San Jerónimo,12.7,65.0,89.1,39.4,51.00
60901,Parrita,24.7,61.9,66.7,44.9,50.69
60106,Manzanillo,11.6,34.3,73.7,68.4,50.24
60112,Chacarita,27.0,26.4,76.3,55.5,50.14
60603,Naranjito,22.7,46.1,64.4,53.4,48.84
